frota,tipo,status_equipamento,dias_com_lancamento,dias_faltando,datas_faltantes
BANHEIRO - 151,BANHEIRO QUÍMICO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BANHEIRO-01,BANHEIRO QUÍMICO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BANHEIRO-02,BANHEIRO QUÍMICO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BANHEIRO-1969,BANHEIRO QUÍMICO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BQ01 - COP,BANHEIRO QUÍMICO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BQ02 - COP,BANHEIRO QUÍMICO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BUS0002,MICROÔNIBUS,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CARR_BANH_04,CARRETINHA BANHEIRO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CARR_BANH_CBUQ01,CARRETINHA BANHEIRO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CARR_BANH_COP01,CARRETINHA BANHEIRO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CARR_BANH-02,CARRETINHA BANHEIRO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CARR_EKZ9152,CARRETINHA BANHEIRO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB020,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB021,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB022,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB023,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB024,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB026,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CB027,CAMINHÃO BASCULANTE,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
COMB_GRU,CAMINHÃO COMBOIO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
COMP011,COMPRESSOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
COMP020,COMPRESSOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
COMP022,COMPRESSOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
COMP025,COMPRESSOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
COMP030,COMPRESSOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
DENSI_020,DENSÍMETRO,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
FA25,FRESADORA,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
GERA01 - COP,GERADOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
GERA02 - COP,GERADOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
GERA03 - COP,GERADOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
GERA04 - COP,GERADOR,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
MCO0008,MICROÔNIBUS,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
MIST01 - COP,MISTURADOR DE ARGAMASSA,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
MIST02 - COP,MISTURADOR DE ARGAMASSA,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
MIST03 - COP,MISTURADOR DE ARGAMASSA,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
MIST04 - COP,MISTURADOR DE ARGAMASSA,ativo,0,31,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
