frota,tipo,status_equipamento,dias_com_lancamento,dias_faltando,datas_faltantes
CB028,CAMINHÃO BASCULANTE,ativo,1,30,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07"
FA14,FRESADORA,ativo,1,30,"01/07, 02/07, 03/07, 04/07, 05/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
BUS0001,MICROÔNIBUS,ativo,2,29,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 29/07, 30/07, 31/07"
CB025,CAMINHÃO BASCULANTE,ativo,2,29,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 29/07, 30/07, 31/07"
CM06,CAVALO MECÂNICO,ativo,4,27,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07"
CC20,CAMINHÃO CARROCERIA,ativo,5,26,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 15/07, 17/07, 19/07, 20/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
FA12,FRESADORA,ativo,5,26,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 25/07, 26/07, 27/07, 28/07, 30/07, 31/07"
CC17,CAMINHÃO CARROCERIA,ativo,6,25,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 16/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 25/07, 26/07"
MCO0009,MICROÔNIBUS,ativo,10,21,"03/07, 05/07, 06/07, 08/07, 11/07, 12/07, 15/07, 17/07, 18/07, 19/07, 20/07, 21/07, 22/07, 23/07, 25/07, 26/07, 27/07, 28/07, 29/07, 30/07, 31/07"
CC21,CAMINHÃO CARROCERIA,ativo,12,19,"01/07, 02/07, 03/07, 04/07, 05/07, 06/07, 07/07, 08/07, 09/07, 10/07, 11/07, 12/07, 13/07, 14/07, 15/07, 18/07, 19/07, 25/07, 26/07"
CC22,CAMINHÃO CARROCERIA,ativo,17,14,"01/07, 02/07, 05/07, 09/07, 10/07, 11/07, 12/07, 13/07, 15/07, 18/07, 19/07, 22/07, 25/07, 26/07"
BUS0003,MICROÔNIBUS,ativo,20,11,"01/07, 04/07, 05/07, 11/07, 12/07, 15/07, 17/07, 19/07, 25/07, 26/07, 27/07"
CB018,CAMINHÃO BASCULANTE,ativo,21,10,"05/07, 09/07, 11/07, 12/07, 18/07, 19/07, 22/07, 23/07, 24/07, 26/07"
CP05,CAMINHÃO PIPA,ativo,21,10,"01/07, 04/07, 05/07, 09/07, 11/07, 12/07, 18/07, 19/07, 30/07, 31/07"
VT13,VAN,ativo,21,10,"21/07, 22/07, 23/07, 24/07, 25/07, 26/07, 27/07, 29/07, 30/07, 31/07"
CB019,CAMINHÃO BASCULANTE,ativo,23,8,"05/07, 09/07, 11/07, 12/07, 18/07, 19/07, 25/07, 26/07"
CM04,CAVALO MECÂNICO,ativo,23,8,"05/07, 09/07, 11/07, 12/07, 18/07, 19/07, 25/07, 26/07"
BC75,BOBCAT,ativo,24,7,"02/07, 06/07, 13/07, 20/07, 26/07, 27/07, 28/07"
