frota,tipo,status_equipamento,dias_com_lancamento,dias_faltando,datas_faltantes
BC60,BOBCAT,ativo,31,0,NULL
BC61,BOBCAT,ativo,31,0,NULL
BC66,BOBCAT,ativo,31,0,NULL
BC70,BOBCAT,ativo,31,0,NULL
CARRE0502,PÁ CARREGADEIRA,ativo,31,0,NULL
CC05,CAMINHÃO CARROCERIA,ativo,31,0,NULL
CC15,CAMINHÃO CARROCERIA,ativo,31,0,NULL
CE01,CAMINHÃO ESPARGIDOR,ativo,31,0,NULL
CE02,CAMINHÃO ESPARGIDOR,ativo,31,0,NULL
CE16,CAMINHÃO ESPARGIDOR,ativo,31,0,NULL
CH02,ROLO CHAPA,ativo,31,0,NULL
CH04,ROLO CHAPA,ativo,31,0,NULL
CH06,ROLO CHAPA,ativo,31,0,NULL
CP02,CAMINHÃO PIPA,ativo,31,0,NULL
ESCA00023,ESCAVADEIRA HIDRÁULICA,ativo,31,0,NULL
KMA01,USINA MÓVEL,ativo,31,0,NULL
KMA02,USINA MÓVEL,ativo,31,0,NULL
KMA03,USINA MÓVEL,ativo,31,0,NULL
KMA04,USINA MÓVEL,ativo,31,0,NULL
KMA05,USINA MÓVEL,ativo,31,0,NULL
PC01,ROLO PÉ DE CARNEIRO,ativo,31,0,NULL
PN03,ROLO PNEU,ativo,31,0,NULL
PN05,ROLO PNEU,ativo,31,0,NULL
PN47,ROLO PNEU,ativo,31,0,NULL
PN49,ROLO PNEU,ativo,31,0,NULL
PN70,ROLO PNEU,ativo,31,0,NULL
RT100,RETROESCAVADEIRA,ativo,31,0,NULL
RT101,RETROESCAVADEIRA,ativo,31,0,NULL
RT103,RETROESCAVADEIRA,ativo,31,0,NULL
VA01,VIBRO ACABADORA,ativo,31,0,NULL
VA03,VIBRO ACABADORA,ativo,31,0,NULL
VA04,VIBRO ACABADORA,ativo,31,0,NULL
VA05,VIBRO ACABADORA,ativo,31,0,NULL
VA15,VIBRO ACABADORA,ativo,31,0,NULL
VA17,VIBRO ACABADORA,ativo,31,0,NULL
VA20,VIBRO ACABADORA,ativo,31,0,NULL
