funcao_planilha_norm,funcao_db_norm,qtd
MOTORISTA CAMINHAO BASCULANTE,MOTORISTA DE CAMINHAO BASCULANTE,34
MOTORISTA,MOTORISTA DE CAMINHAO,11
TEC DE SEG TRABALHO,TECNICO DE SEGURANCA,8
MOTORISTA ESPARGIDOR,MOTORISTA DE CAMINHAO ESPARGIDOR,7
OP USINA MOVEL KMA,OPERADOR DE KMA,7
OPERADOR TRATOR ESTEIRA,OPERADOR DE TRATOR ESTEIRA,6
MOTORISTA CARRETEIRO,MOTORISTA DE CARRETA,3
OP DE VIBROACABADORA,OPERADOR DE VIBROACABADORA,3
APONTADOR DE OBRAS,AJUDANTE GERAL,2
ASSISTENTE DE PRODUCAO,SPOTTER,2
MOTORISTA COMBOIO,MOTORISTA DE COMBOIO,2
MOTORISTA PIPA,MOTORISTA DE CAMINHAO PIPA,2
OPERADOR DE RETROESCAVADEIRA,OPERADOR DE ESCAVADEIRA,2
PEDREIRO,AJUDANTE GERAL,2
ANALISTA DE ENG MECANICA,ASSIT ENGENHARIA MECANICA,1
ASSISTENTE DE PRODUCAO,MOTORISTA DE CAMINHAO BASCULANTE,1
ELETRICISTA DE MAQUINAS,ELETRICISTA,1
ENCARREGADO ADMISTRATIVO,ENCARREGADO ADMINISTRATIVO,1
ENCARREGADO DE INFRAESTRUTURA,APONTADOR DE OBRAS,1
ENCARREGADO DE OBRAS,ENCARREGADO ADMINISTRATIVO,1
ENCARREGADO DE PATIO,OPERADOR DE PA CARREGADEIRA,1
ENCARREGADO DE PRODUCAO,ENCARREGADO DE OBRAS,1
GREIDISTA,OPERADOR DE MOTONIVELADORA,1
MARTELETEIRO,SINALEIRO,1
MECANICO,AJUDANTE DE MANUTENCAO,1
MOTONIVELADORA,OPERADOR DE MOTONIVELADORA,1
MOTORISTA CAMINHAO BASCULANTE,MOTORISTA DE CAMINHAO,1
MOTORISTA DE CAMINHAO,MOTORISTA DE CAMINHAO BASCULANTE,1
OP. MOTONIVELADORA DE BASE,OPERADOR DE MOTONIVELADORA,1
OPERADOR DE ESCAVADEIRA,OPERADOR DE TRATOR ESTEIRA,1
OPERADOR DE MAQUINAS,OPERADOR DE RETROESCAVADEIRA,1
TRATOR AGRICOLA,OPERADOR DE TRATOR ESTEIRA,1
